City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
Beloha,-25.17,45.05,59.09,79,0,6.8,MG,2020-07-22 21:58:19
Itarema,-2.92,-39.92,77.68,72,3,14.05,BR,2020-07-22 21:58:20
Camacupa,-12.02,17.48,55.42,40,0,5.1,AO,2020-07-22 21:58:22
Namatanai,-3.67,152.43,81.36,76,80,8.39,PG,2020-07-22 21:58:23
Kaitangata,-46.28,169.85,39.0,78,43,8.01,NZ,2020-07-22 21:58:24
Havre-St-Pierre,50.23,-63.6,64.4,68,1,21.92,CA,2020-07-22 21:58:25
Taraz,42.9,71.37,71.6,37,64,4.47,KZ,2020-07-22 21:58:26
Avarua,-21.21,-159.78,78.8,88,6,12.75,CK,2020-07-22 21:56:40
Egvekinot,66.32,-179.17,57.16,58,81,3.94,RU,2020-07-22 21:58:29
Olafsvik,64.89,-23.71,49.32,72,22,9.13,IS,2020-07-22 21:58:30
Barrow,71.29,-156.79,41.0,86,90,10.29,US,2020-07-22 21:56:51
Rio Grande,-32.03,-52.1,68.0,88,100,7.9,BR,2020-07-22 21:55:32
Dubrovka,53.69,33.51,50.31,91,0,8.95,RU,2020-07-22 21:58:33
Marawi,8.0,124.29,75.0,89,100,5.01,PH,2020-07-22 21:58:34
Alpena,45.06,-83.43,69.8,73,90,13.87,US,2020-07-22 21:58:36
Nikolskoye,59.7,30.79,59.0,67,1,8.95,RU,2020-07-22 21:58:38
Asău,46.43,26.4,60.01,98,99,2.01,RO,2020-07-22 21:58:39
Poum,-20.23,164.02,70.97,72,84,18.03,NC,2020-07-22 21:58:40
Quatre Cocos,-20.21,57.76,69.8,56,75,11.41,MU,2020-07-22 21:57:36
Bambous Virieux,-20.34,57.76,69.8,56,75,11.41,MU,2020-07-22 21:58:42
Butaritari,3.07,172.79,83.59,75,63,14.43,KI,2020-07-22 21:58:43
Manokwari,-0.87,134.08,79.9,68,4,4.0,ID,2020-07-22 21:58:45
Homer,59.64,-151.55,55.4,82,90,14.99,US,2020-07-22 21:58:46
Provideniya,64.38,-173.3,48.2,87,0,8.95,RU,2020-07-22 21:58:47
Kahului,20.89,-156.47,87.8,55,40,19.46,US,2020-07-22 21:57:49
Abalak,58.13,68.59,52.3,69,3,5.46,RU,2020-07-22 21:58:49
Longyearbyen,78.22,15.64,46.4,81,75,10.29,SJ,2020-07-22 21:58:50
Dikson,73.51,80.55,39.99,92,41,7.76,RU,2020-07-22 21:56:42
Srandakan,-7.94,110.25,75.07,87,95,6.49,ID,2020-07-22 21:58:53
Ketchikan,55.34,-131.65,66.2,63,40,16.11,US,2020-07-22 21:58:54
East London,-33.02,27.91,63.61,41,0,6.29,ZA,2020-07-22 21:58:55
Kamenka,51.32,42.77,64.99,87,0,8.99,RU,2020-07-22 21:58:56
San Cristobal,7.77,-72.22,91.4,41,40,9.17,VE,2020-07-22 21:58:57
Ola,59.58,151.28,58.12,71,27,3.27,RU,2020-07-22 21:58:58
Faanui,-16.48,-151.75,77.27,79,29,18.41,PF,2020-07-22 21:58:59
Harper,4.38,-7.72,75.69,85,95,10.11,LR,2020-07-22 21:59:01
Yumen,40.28,97.2,70.66,41,100,1.68,CN,2020-07-22 21:59:02
Lichuan,30.3,108.85,67.33,96,97,3.42,CN,2020-07-22 21:59:03
Kupang,-10.17,123.58,73.4,78,20,8.05,ID,2020-07-22 21:59:04
Binzhou,37.37,118.02,69.91,91,92,5.32,CN,2020-07-22 21:59:05
Adrar,20.5,-10.07,100.22,10,27,5.32,MR,2020-07-22 21:59:07
Severo-Kuril'sk,50.68,156.12,52.29,84,34,1.16,RU,2020-07-22 21:59:08
Koilada,37.41,23.11,79.63,48,0,12.03,GR,2020-07-22 21:59:10
Laas,46.62,10.7,62.01,100,75,1.77,IT,2020-07-22 21:59:12
Karratha,-20.74,116.85,68.31,44,0,6.11,AU,2020-07-22 21:56:15
Levelland,33.59,-102.38,89.6,40,75,3.36,US,2020-07-22 21:59:15
Tucumã,-0.18,-50.05,80.19,76,42,8.21,BR,2020-07-22 21:59:16
Ancud,-41.87,-73.82,48.99,61,78,5.82,CL,2020-07-22 21:59:18
Saýat,38.78,63.88,84.2,35,0,9.17,TM,2020-07-22 21:59:19
Lüderitz,-26.65,15.16,59.0,72,0,1.12,,2020-07-22 21:59:20
Coyhaique,-45.58,-72.07,33.8,74,75,4.7,CL,2020-07-22 21:57:00
Gushikawa,26.35,127.87,82.4,94,1,7.4,JP,2020-07-22 21:59:22
Colac,-38.33,143.58,42.01,99,96,3.36,AU,2020-07-22 21:59:24
Harunabad,29.61,73.14,89.76,51,0,3.29,PK,2020-07-22 21:59:25
Khatanga,71.97,102.5,46.87,80,100,15.23,RU,2020-07-22 21:59:26
Isangel,-19.55,169.27,71.6,78,75,5.82,VU,2020-07-22 21:59:27
Bubaque,11.28,-15.83,80.74,82,99,10.74,GW,2020-07-22 21:59:28
Sagua la Grande,22.81,-80.08,82.4,78,75,8.05,CU,2020-07-22 21:59:29
Lebu,-37.62,-73.65,50.4,81,32,2.71,CL,2020-07-22 21:59:31
Itaituba,-4.28,-55.98,93.2,46,20,1.32,BR,2020-07-22 21:59:32
Atuona,-9.8,-139.03,79.63,73,1,17.65,PF,2020-07-22 21:59:33
Tohāna,29.7,75.9,82.65,63,0,4.97,IN,2020-07-22 21:59:34
Langxiang,46.95,128.88,70.47,69,1,0.69,CN,2020-07-22 21:59:35
Fort Saint James,54.43,-124.25,72.0,36,80,5.12,CA,2020-07-22 21:59:37
Ambilobe,-13.2,49.05,64.69,74,100,3.24,MG,2020-07-22 21:59:38
Sarh,9.14,18.39,73.74,87,97,3.2,TD,2020-07-22 21:59:39
Bengkulu,-3.8,102.27,73.94,88,90,4.43,ID,2020-07-22 21:59:40
Karwar,14.8,74.13,78.82,86,100,1.72,IN,2020-07-22 21:59:41
Gaza,31.5,34.47,79.0,63,0,0.67,PS,2020-07-22 21:55:37
Oranjemund,-28.55,16.43,59.04,69,0,1.59,,2020-07-22 21:59:43
Kingisepp,59.37,28.61,53.82,78,18,8.05,RU,2020-07-22 21:56:19
Vyshneve,50.39,30.37,62.01,58,0,6.71,UA,2020-07-22 21:59:46
Thompson,55.74,-97.86,78.8,47,75,9.17,CA,2020-07-22 21:59:47
Abonnema,4.71,6.79,73.4,100,75,5.61,NG,2020-07-22 21:59:48
Puerto Nariño,-3.77,-70.38,84.2,70,75,4.7,CO,2020-07-22 21:59:49
San Francisco,37.77,-122.42,71.6,60,20,4.7,US,2020-07-22 21:59:37
Mahajanga,-15.72,46.32,68.0,60,20,8.05,MG,2020-07-22 21:59:52
Huilong,31.81,121.66,87.01,80,96,10.87,CN,2020-07-22 21:59:54
Saint-Pierre,-21.34,55.48,68.0,52,90,10.29,RE,2020-07-22 21:59:55
Havøysund,71.0,24.66,46.4,100,75,18.34,NO,2020-07-22 21:59:56
Carnarvon,-24.87,113.63,57.2,100,0,8.05,AU,2020-07-22 21:59:57
Banamba,13.55,-7.45,77.9,78,96,5.5,ML,2020-07-22 21:59:58
Bacolod City,10.67,122.95,78.3,82,30,2.73,PH,2020-07-22 21:59:59
Moree,-29.47,149.85,42.8,81,90,5.82,AU,2020-07-22 22:00:00
Llanes,43.42,-4.75,69.01,98,2,1.99,ES,2020-07-22 22:00:02
Umarkot,25.36,69.74,87.17,67,66,18.14,PK,2020-07-22 21:55:52
Bhīmunipatnam,17.88,83.43,82.4,88,90,8.05,IN,2020-07-22 22:00:05
Daru,-9.08,143.21,77.22,83,98,10.51,PG,2020-07-22 22:00:07
Honolulu,21.31,-157.86,82.4,65,40,12.75,US,2020-07-22 21:55:57
Aksu,41.12,80.26,72.7,43,54,5.08,CN,2020-07-22 22:00:09
Salalah,17.02,54.09,78.8,94,90,8.05,OM,2020-07-22 22:00:10
Duminichi,53.93,35.11,50.02,93,3,7.54,RU,2020-07-22 22:00:11
Gari,59.43,62.35,57.27,80,99,4.59,RU,2020-07-22 22:00:13
Maumere,-8.62,122.21,76.44,75,58,6.55,ID,2020-07-22 22:00:14
Lorengau,-2.02,147.27,83.91,74,21,8.5,PG,2020-07-22 22:00:15
Kruisfontein,-34.0,24.73,57.04,42,0,5.97,ZA,2020-07-22 22:00:16
Sur,22.57,59.53,83.82,73,51,20.15,OM,2020-07-22 22:00:17
Sept-Îles,50.2,-66.38,69.8,64,40,8.05,CA,2020-07-22 21:57:21
Eatonton,33.33,-83.39,95.0,43,40,2.24,US,2020-07-22 22:00:21
George Town,5.41,100.34,78.8,88,20,6.71,MY,2020-07-22 21:56:19
Oktyabr'skoye,43.06,44.74,68.0,77,74,2.24,RU,2020-07-22 22:00:23
Portland,45.52,-122.68,81.0,56,40,4.7,US,2020-07-22 21:55:57
Jalu,29.03,21.55,77.49,55,0,14.5,LY,2020-07-22 22:00:26
Boşorod,45.68,23.08,62.38,83,23,3.58,RO,2020-07-22 22:00:27
Hamilton,39.18,-84.53,82.99,78,20,3.36,US,2020-07-22 21:58:41
Bom Jesus,-9.07,-44.36,78.69,49,63,4.5,BR,2020-07-22 22:00:30
Grindavik,63.84,-22.43,50.0,76,40,9.17,IS,2020-07-22 21:57:57
San Rafael del Sur,11.85,-86.44,78.8,78,75,4.7,NI,2020-07-22 22:00:32
Westport,41.14,-73.36,84.99,78,1,9.17,US,2020-07-22 21:55:37
Skotterud,59.98,12.13,51.8,87,79,3.62,NO,2020-07-22 22:00:34
Magomeni,-6.8,39.25,69.8,88,5,5.82,TZ,2020-07-22 22:00:35
Nahrin,36.06,69.13,73.71,23,0,2.86,AF,2020-07-22 22:00:37
Lucapa,-8.42,20.74,65.91,32,0,2.84,AO,2020-07-22 22:00:38
Port Hawkesbury,45.62,-61.35,75.99,47,1,8.05,CA,2020-07-22 21:56:30
Constitución,-35.33,-72.42,50.38,76,21,1.83,CL,2020-07-22 22:00:40
Dustlik,40.52,68.04,79.05,23,42,5.12,UZ,2020-07-22 22:00:41
Ruy Barbosa,-12.28,-40.49,68.95,65,3,6.33,BR,2020-07-22 22:00:42
Trairi,-3.28,-39.27,77.2,71,15,9.42,BR,2020-07-22 21:57:49
Oyama,36.3,139.8,80.01,94,75,3.36,JP,2020-07-22 22:00:44
Airai,-8.93,125.41,53.53,53,94,4.25,TL,2020-07-22 21:56:43
Panguipulli,-39.63,-72.33,50.0,61,100,3.36,CL,2020-07-22 22:00:47
Kysyl-Syr,63.9,122.76,62.42,74,0,6.8,RU,2020-07-22 22:00:48
Saint-Amand-les-Eaux,50.45,3.43,60.8,59,15,3.36,FR,2020-07-22 22:00:49
Korla,41.76,86.15,72.41,50,85,11.86,CN,2020-07-22 22:00:51
Jutaí,-5.18,-68.9,84.54,55,84,2.19,BR,2020-07-22 22:00:55
Uruguaiana,-29.75,-57.09,77.0,69,100,5.82,BR,2020-07-22 22:00:56
Kosa,59.94,55.0,59.22,83,94,6.38,RU,2020-07-22 22:00:57
Vanderhoof,54.02,-124.02,74.35,32,77,6.73,CA,2020-07-22 22:00:58
Itacoatiara,-3.14,-58.44,83.48,63,97,0.72,BR,2020-07-22 22:00:59
Kalmunai,7.42,81.82,79.45,80,100,14.25,LK,2020-07-22 22:01:00
Senanga,-16.12,23.27,55.89,41,0,6.35,ZM,2020-07-22 22:01:02
Alyangula,-13.85,136.42,59.0,93,0,11.72,AU,2020-07-22 21:57:38
Dongsheng,39.82,109.98,64.87,71,66,8.12,CN,2020-07-22 22:01:05
Necochea,-38.55,-58.74,48.0,98,100,21.0,AR,2020-07-22 21:56:37
Rome,43.21,-75.46,73.99,83,90,3.36,US,2020-07-22 22:00:28
Kommunisticheskiy,61.68,64.48,57.11,87,0,4.92,RU,2020-07-22 22:01:08
Goderich,43.75,-81.72,80.01,69,2,5.01,CA,2020-07-22 22:01:09
Oruzgan,32.83,66.0,63.55,27,0,2.24,AF,2020-07-22 22:01:10
Tiksi,71.69,128.87,52.74,80,74,3.74,RU,2020-07-22 21:56:46
Staraya Mayna,54.6,48.95,60.8,87,0,4.47,RU,2020-07-22 22:01:13
Sioux Lookout,50.1,-91.92,80.6,32,75,4.7,CA,2020-07-22 22:01:14
Meulaboh,4.14,96.13,75.76,88,100,0.67,ID,2020-07-22 22:01:15
Guerrero Negro,27.98,-114.06,77.2,55,4,14.54,MX,2020-07-22 21:58:12
Barranca de Upía,4.57,-72.97,80.38,87,93,0.72,CO,2020-07-22 21:56:34
Moyale,3.52,39.06,69.4,66,82,12.91,KE,2020-07-22 22:01:18
Camacha,33.08,-16.33,69.8,68,40,12.75,PT,2020-07-22 22:01:20
Shenavan,40.05,43.93,77.0,44,20,17.22,AM,2020-07-22 22:01:21
Fort Nelson,58.81,-122.7,62.6,77,75,6.93,CA,2020-07-22 22:00:29
Kavieng,-2.57,150.8,83.44,76,33,14.52,PG,2020-07-22 21:56:51
Coahuayana Viejo,18.73,-103.68,73.4,88,75,11.41,MX,2020-07-22 22:01:24
Zyryanovsk,49.74,84.27,54.84,87,84,2.13,KZ,2020-07-22 22:01:25
Province of Mantua,45.17,10.78,72.0,93,68,7.0,IT,2020-07-22 22:01:26
Rafaela,-31.25,-61.49,55.0,68,100,3.0,AR,2020-07-22 22:01:29
Zhongshu,24.52,103.77,60.31,94,78,4.97,CN,2020-07-22 22:01:30
Sørland,67.67,12.69,52.54,82,100,15.64,NO,2020-07-22 22:01:31
Muros,42.78,-9.06,71.01,73,1,10.0,ES,2020-07-22 22:01:32
Luanda,-8.84,13.23,69.8,88,75,3.36,AO,2020-07-22 21:56:33
Yulara,-25.24,130.99,41.0,80,0,5.82,AU,2020-07-22 22:01:35
Mahanoro,-19.9,48.8,65.21,80,75,8.72,MG,2020-07-22 22:01:36
Oddur,4.12,43.89,72.66,67,53,21.72,SO,2020-07-22 22:01:37
Ürümqi,43.8,87.6,73.4,53,40,8.95,CN,2020-07-22 22:01:38
Willowmore,-33.29,23.49,51.3,42,0,2.64,ZA,2020-07-22 22:01:39
Torbay,47.67,-52.73,73.0,53,75,16.11,CA,2020-07-22 22:01:21
Tiarei,-17.53,-149.33,82.4,61,20,8.05,PF,2020-07-22 22:01:41
Upernavik,72.79,-56.15,47.17,69,0,12.64,GL,2020-07-22 22:01:44
Aykhal,66.0,111.5,55.4,93,90,8.95,RU,2020-07-22 21:57:23
Morón,-34.65,-58.62,60.01,99,100,2.77,AR,2020-07-22 21:58:30
Severo-Yeniseyskiy,60.37,93.04,49.33,100,100,0.76,RU,2020-07-22 22:01:47
Distrikt Brokopondo,4.75,-55.17,81.41,76,100,6.93,SR,2020-07-22 22:01:49
Mtambile,-5.38,39.7,75.78,76,18,19.42,TZ,2020-07-22 22:01:50
Novy Urengoy,66.08,76.63,48.27,75,0,14.76,RU,2020-07-22 22:01:52
Abnūb,27.27,31.15,83.28,43,0,14.61,EG,2020-07-22 22:01:53
Port Elizabeth,-33.92,25.57,59.0,93,0,4.7,ZA,2020-07-22 21:56:57
Carutapera,-1.2,-46.02,77.18,81,24,6.6,BR,2020-07-22 22:01:55
Tuktoyaktuk,69.45,-133.04,44.6,87,90,9.17,CA,2020-07-22 22:01:11
Nome,64.5,-165.41,59.0,81,40,3.36,US,2020-07-22 21:57:54
Kushiro,42.98,144.37,63.05,97,100,6.89,JP,2020-07-22 22:01:19
Bilibino,68.05,166.44,73.58,35,99,3.96,RU,2020-07-22 22:02:00
Saint Paul Harbor,57.79,-152.41,66.2,45,1,13.87,US,2020-07-22 21:57:40
Sandakan,5.84,118.12,78.8,94,20,2.24,MY,2020-07-22 22:02:02
Atambua,-9.11,124.89,65.3,80,100,5.93,ID,2020-07-22 22:02:03
Hillsboro,45.52,-122.99,81.0,53,40,3.36,US,2020-07-22 22:02:04
Santa Lucía,27.91,-15.54,73.4,69,20,26.4,ES,2020-07-22 22:02:05
Emerald,-23.53,148.17,55.4,100,90,11.41,AU,2020-07-22 22:02:06
Gilbués,-9.83,-45.34,77.86,45,77,5.7,BR,2020-07-22 22:02:08
Narsaq,60.92,-46.05,68.0,24,53,31.09,GL,2020-07-22 22:02:09
Sinegor'ye,62.08,150.48,67.42,49,72,3.56,RU,2020-07-22 22:02:10
Talnakh,69.49,88.4,50.0,87,0,22.37,RU,2020-07-22 22:02:11
Rio Brilhante,-21.8,-54.55,73.47,38,60,3.27,BR,2020-07-22 22:02:12
Sibolga,1.74,98.78,75.58,88,99,4.36,ID,2020-07-22 22:02:13
Zhangaözen,43.3,52.8,75.49,42,72,7.29,KZ,2020-07-22 22:02:14
Worland,44.02,-107.96,99.0,15,1,5.82,US,2020-07-22 22:02:16
Pacific Grove,36.62,-121.92,71.01,56,1,16.11,US,2020-07-22 22:02:17
Barra do Bugres,-15.07,-57.18,80.4,27,0,3.67,BR,2020-07-22 22:02:19
Norman Wells,65.28,-126.83,57.2,76,75,13.87,CA,2020-07-22 22:02:05
Marfino,55.7,37.38,61.0,87,35,6.71,RU,2020-07-22 22:02:21
Alice Springs,-23.7,133.88,33.8,80,0,5.82,AU,2020-07-22 21:57:49
Kokopo,-4.35,152.26,80.47,75,0,7.11,PG,2020-07-22 22:02:26
Kuala Terengganu,5.33,103.14,78.8,94,20,3.36,MY,2020-07-22 21:59:00
Muhafazat Lahij,13.17,44.58,84.4,60,27,4.61,YE,2020-07-22 22:02:28
Codrington,-38.27,141.97,47.03,80,100,4.0,AU,2020-07-22 22:02:31
Denpasar,-8.65,115.22,78.8,100,40,10.29,ID,2020-07-22 21:59:28
Huaibei,33.97,116.79,73.0,93,70,8.86,CN,2020-07-22 22:02:33
Mogadishu,2.04,45.34,76.84,78,100,21.32,SO,2020-07-22 22:02:24
Olavarría,-36.89,-60.32,48.99,96,100,1.99,AR,2020-07-22 22:00:53
Steinbach am Taunus,50.17,8.57,72.0,49,69,11.41,DE,2020-07-22 21:59:54
Saint-André-les-Vergers,48.29,4.05,57.2,58,38,8.05,FR,2020-07-22 22:02:38
Nuevo Progreso,23.17,-97.95,91.99,46,0,7.0,MX,2020-07-22 22:02:39
Cessnock,-32.83,151.35,45.0,98,90,2.21,AU,2020-07-22 22:02:40
São Gabriel da Cachoeira,-0.13,-67.09,87.8,66,20,3.36,BR,2020-07-22 22:02:42
Bathsheba,13.22,-59.52,86.0,62,40,16.11,BB,2020-07-22 22:00:21
Vanimo,-2.67,141.3,79.45,79,3,5.19,PG,2020-07-22 22:02:46
Lagoa,39.05,-27.98,69.75,71,0,3.22,PT,2020-07-22 22:02:47
Lahaina,20.88,-156.68,81.0,69,40,10.29,US,2020-07-22 21:58:03
Kokstad,-30.55,29.42,45.09,48,0,3.58,ZA,2020-07-22 22:02:49
Padang,-0.95,100.35,73.4,94,40,1.12,ID,2020-07-22 22:02:50
Kargopol',61.51,38.95,56.53,96,93,7.87,RU,2020-07-22 22:02:51
Kununurra,-15.77,128.73,55.4,41,21,4.7,AU,2020-07-22 22:02:20
Gorlice,49.66,21.16,57.99,83,29,1.14,PL,2020-07-22 22:02:53
Rongcheng,30.63,117.85,79.11,80,100,3.09,CN,2020-07-22 22:02:57
Pamekasan,-7.16,113.47,76.66,82,7,4.5,ID,2020-07-22 22:02:58
Touros,-5.2,-35.46,77.0,78,75,9.17,BR,2020-07-22 22:02:59
Raudeberg,61.99,5.14,51.8,71,20,9.17,NO,2020-07-22 22:03:00
Sisimiut,66.94,-53.67,57.34,63,10,2.71,GL,2020-07-22 22:03:01
Broome,42.25,-75.83,82.4,54,75,12.75,US,2020-07-22 22:03:02
Coquimbo,-29.95,-71.34,57.2,67,40,13.87,CL,2020-07-22 22:02:35
Turukhansk,65.82,87.98,53.8,68,100,9.73,RU,2020-07-22 22:03:05
Guarujá,-23.99,-46.26,73.0,83,0,2.24,BR,2020-07-22 22:00:50
Tokur,53.13,132.9,52.79,91,86,3.31,RU,2020-07-22 22:03:08
Nara,34.69,135.8,80.01,83,75,5.82,JP,2020-07-22 22:03:09
Evensk,61.95,159.23,59.94,60,12,4.34,RU,2020-07-22 22:03:10
Breves,-1.68,-50.48,81.09,63,55,2.59,BR,2020-07-22 22:03:11
Botwood,49.15,-55.35,75.0,46,31,1.01,CA,2020-07-22 22:03:12
Peniche,39.36,-9.38,64.99,94,0,3.0,PT,2020-07-22 22:03:14
Blagoyevo,63.37,47.92,62.83,86,44,8.66,RU,2020-07-22 22:03:15
San Patricio,19.22,-104.7,89.6,70,75,17.22,MX,2020-07-22 22:03:16
